theta_deg,mode,energy_keV,ff_cm2_g,pp_cm2_g,absorption_cm2_g,scattering_cm2_g,total_cm2_g
5.0,1,0.013031052871474214,1.0597801499393217e-6,3.8081230685811053e-7,1.4405924567974324e-6,5.036664489040824e-11,1.4406428234423228e-6
5.0,1,0.013188817176132224,1.0817042879541588e-6,3.80199856639653e-7,1.4619041445938117e-6,5.159364549435228e-11,1.4619557382393062e-6
5.0,1,0.01334849150111397,1.1040779515125198e-6,3.795876536515515e-7,1.4836656051640713e-6,5.2850540585443585e-11,1.4837184557046567e-6
5.0,1,0.013510098970646733,1.1269231077359808e-6,3.789757019160726e-7,1.5058988096520535e-6,5.413805873903279e-11,1.5059529477107925e-6
5.0,1,0.0136736629889181,1.1502372821162487e-6,3.7836400555663795e-7,1.5286012876728865e-6,5.54569463042731e-11,1.528656744619191e-6
5.0,1,0.013839207243465391,1.1740346681439576e-6,3.7775256880047467e-7,1.5517872369444322e-6,5.68079678388938e-11,1.551844044912271e-6
5.0,1,0.014006755708606135,1.1983255814833966e-6,3.7714139598109765e-7,1.5754669774644942e-6,5.8191906554943424e-11,1.575525169371049e-6
5.0,1,0.014176332648910028,1.223120575858549e-6,3.7653049154111364e-7,1.5996510673996625e-6,5.960956477525977e-11,1.5997106769644377e-6
5.0,1,0.014347962622712974,1.248430449912955e-6,3.759198600347845e-7,1.6243503099477394e-6,6.106176440155585e-11,1.624411371712141e-6
5.0,1,0.014521670485673653,1.2742662534144614e-6,3.753095061308829e-7,1.6495757595453443e-6,6.254934739386008e-11,1.649638308892738e-6
5.0,1,0.014697481394373147,1.3006392935748576e-6,3.746994346155977e-7,1.6753387281904553e-6,6.407317626180184e-11,1.6754028013667172e-6
5.0,1,0.014875420809958143,1.3275611426346124e-6,3.740896503953021e-7,1.7016507930299145e-6,6.563413456836966e-11,1.701716427164483e-6
5.0,1,0.015055514501828248,1.3550436436421388e-6,3.734801584997912e-7,1.72852380214193e-6,6.723312744559288e-11,1.7285910352693756e-6
5.0,1,0.015237788551367945,1.3830989195142806e-6,3.7287096408499497e-7,1.7559698835992757e-6,6.887108212389791e-11,1.7560387546813997e-6
5.0,1,0.01542226935572373,1.4117393783055064e-6,3.7226207243652576e-7,1.7840014507420322e-6,7.054894847345916e-11,1.7840719996905057e-6
5.0,1,0.015608983631626982,1.4409777232298663e-6,3.7165348897246616e-7,1.8126312122023324e-6,7.226769956032594e-11,1.8127034799018928e-6
5.0,1,0.0157979584192631,1.4708269583938262e-6,3.7104521924704806e-7,1.8418721776408743e-6,7.402833221506109e-11,1.8419462059730893e-6
5.0,1,0.015989221086187513,1.5013003989412947e-6,3.7043726895367896e-7,1.8717376678949737e-6,7.583186761678509e-11,1.8718134997625905e-6
5.0,1,0.016182799331289067,1.5324116783662957e-6,3.698296439285828e-7,1.9022413222948786e-6,7.767935189086342e-11,1.9023190016467694e-6
5.0,1,0.01637872118880142,1.5641747574274977e-6,3.6922235015429983e-7,1.9333971075817975e-6,7.95718567219191e-11,1.9334766794385195e-6
5.0,1,0.01657701503236299,1.5966039297005387e-6,3.686153937632508e-7,1.9652193234637897e-6,8.151047998219554e-11,1.9653008339437717e-6
5.0,1,0.016777709579126058,1.631160075834098e-6,3.6800878103879797e-7,1.9991688568728958e-6,8.349634637559378e-11,1.9992523532192713e-6
5.0,1,0.016980833893915626,1.6649520333126707e-6,3.674025184297403e-7,2.032354551742411e-6,8.553060809767646e-11,2.0324400823505087e-6
5.0,1,0.017186417393438614,1.6980318981336412e-6,3.667966125404391e-7,2.0648285106740802e-6,8.761444551256806e-11,2.064916125119593e-6
5.0,1,0.017394489850544027,1.7332765681377857e-6,3.6619107013576195e-7,2.0994676382735477e-6,8.974906784673126e-11,2.0995573873413944e-6
5.0,1,0.017605081398534686,1.76926417421065e-6,3.655858981573494e-7,2.1348500723679992e-6,9.193571390021532e-11,2.1349420080818996e-6
5.0,1,0.01781822253553118,1.8060110278539914e-6,3.64981103717854e-7,2.1709921315718455e-6,9.417565277538401e-11,2.1710863072246207e-6
