 FILTERED output of ioneqmn.
    NRmax =  55,  NTmax =  21
                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
  3.40  10.5116   0.989   -14.53  14.51   2.88  1.332  0.252 7.62E-13 7.62E-13 0.00E+00 2.11E-01   2.243   2.160
     5.900    14.000
 -7.40   0.4169   1.997    -7.24  63.82   1.01  1.001  1.000 6.93E-04 1.22E-04 0.00E+00 1.34E-02  -7.164  -7.164
 -7.20   0.6168   1.997    -7.24  62.90   1.01  1.001  0.999 7.67E-04 1.42E-04 0.00E+00 1.52E-02  -7.154  -7.154
 -7.00   0.8167   1.996    -7.24  61.99   1.01  1.001  0.999 8.44E-04 1.64E-04 0.00E+00 1.71E-02  -7.143  -7.143
 -6.80   1.0166   1.996    -7.24  61.07   1.01  1.001  0.999 9.26E-04 1.90E-04 0.00E+00 1.92E-02  -7.132  -7.132
 -6.60   1.2165   1.995    -7.24  60.15   1.01  1.001  0.999 1.01E-03 2.20E-04 0.00E+00 2.15E-02  -7.121  -7.121
 -6.40   1.4164   1.995    -7.24  59.24   1.02  1.002  0.999 1.10E-03 2.54E-04 0.00E+00 2.40E-02  -7.110  -7.110
 -6.20   1.6163   1.994    -7.24  58.32   1.02  1.002  0.999 1.19E-03 2.94E-04 0.00E+00 2.66E-02  -7.098  -7.098
 -6.00   1.8162   1.994    -7.24  57.41   1.02  1.002  0.999 1.29E-03 3.40E-04 0.00E+00 2.94E-02  -7.086  -7.086
 -5.80   2.0161   1.993    -7.23  56.49   1.02  1.002  0.999 1.40E-03 3.92E-04 0.00E+00 3.24E-02  -7.074  -7.074
 -5.60   2.2160   1.993    -7.23  55.58   1.02  1.002  1.000 1.51E-03 4.53E-04 0.00E+00 3.54E-02  -7.061  -7.061
 -5.40   2.4159   1.992    -7.23  54.67   1.02  1.002  1.000 1.62E-03 5.22E-04 0.00E+00 3.85E-02  -7.048  -7.048
 -5.20   2.6158   1.992    -7.23  53.75   1.02  1.002  1.000 1.75E-03 6.02E-04 0.00E+00 4.17E-02  -7.034  -7.034
 -5.00   2.8157   1.991    -7.23  52.84   1.02  1.002  1.000 1.88E-03 6.94E-04 0.00E+00 4.50E-02  -7.019  -7.019
 -4.80   3.0156   1.991    -7.23  51.93   1.02  1.002  1.000 2.02E-03 7.99E-04 0.00E+00 4.83E-02  -7.002  -7.002
 -4.60   3.2155   1.990    -7.23  51.01   1.03  1.002  0.999 2.18E-03 9.20E-04 0.00E+00 5.17E-02  -6.983  -6.983
 -4.40   3.4154   1.990    -7.22  50.10   1.03  1.003  0.999 2.35E-03 1.06E-03 0.00E+00 5.53E-02  -6.960  -6.960
 -4.20   3.6153   1.990    -7.22  49.19   1.03  1.003  0.999 2.53E-03 1.22E-03 0.00E+00 5.89E-02  -6.933  -6.933
