 Output of ioneqmn.

                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
 -2.20   5.6124   1.976    -1.43  37.96   1.53  1.010  0.999 4.84E-03 4.31E-03 3.84E-16 9.45E-02  -3.795  -3.862
 -2.00   5.8121   1.975    -1.44  37.05   1.54  1.011  0.998 5.28E-03 4.91E-03 1.48E-15 9.94E-02  -3.647  -3.711
 -1.80   6.0116   1.973    -1.44  36.14   1.54  1.013  0.997 5.83E-03 5.60E-03 5.68E-15 1.04E-01  -3.484  -3.551
 -1.60   6.2100   1.965    -1.45  35.21   1.55  1.017  0.996 6.60E-03 6.48E-03 2.21E-14 1.04E-01  -3.304  -3.377
 -1.40   6.4091   1.961    -1.46  34.30   1.56  1.020  0.996 7.47E-03 7.41E-03 8.37E-14 1.10E-01  -3.123  -3.199
 -1.20   6.6081   1.957    -1.48  33.39   1.57  1.024  0.995 8.55E-03 8.51E-03 3.15E-13 1.15E-01  -2.947  -3.027
 -1.00   6.8069   1.952    -1.49  32.48   1.59  1.030  0.993 9.88E-03 9.83E-03 1.18E-12 1.20E-01  -2.772  -2.855
 -0.80   7.0054   1.945    -1.52  31.56   1.61  1.037  0.991 1.15E-02 1.14E-02 4.33E-12 1.25E-01  -2.591  -2.670
 -0.60   7.2011   1.925    -1.55  30.61   1.65  1.048  0.988 1.37E-02 1.36E-02 1.60E-11 1.23E-01  -2.398  -2.474
 -0.40   7.3985   1.914    -1.59  29.69   1.70  1.059  0.986 1.61E-02 1.60E-02 5.60E-11 1.31E-01  -2.205  -2.279
 -0.20   7.5954   1.901    -1.63  28.77   1.76  1.073  0.983 1.91E-02 1.89E-02 1.90E-10 1.39E-01  -2.011  -2.085
  0.00   7.7918   1.885    -1.69  27.84   1.85  1.090  0.980 2.26E-02 2.23E-02 6.20E-10 1.46E-01  -1.816  -1.890
  0.20   7.9874   1.866    -1.77  26.91   1.95  1.110  0.976 2.68E-02 2.64E-02 1.90E-09 1.53E-01  -1.619  -1.695
  0.40   8.1822   1.844    -1.86  25.96   2.09  1.135  0.972 3.15E-02 3.09E-02 5.38E-09 1.60E-01  -1.420  -1.499
  0.60   8.3761   1.818    -1.98  25.01   2.25  1.164  0.966 3.62E-02 3.55E-02 1.35E-08 1.67E-01  -1.221  -1.305
  0.80   8.5689   1.788    -2.11  24.04   2.43  1.196  0.961 4.02E-02 3.94E-02 2.84E-08 1.75E-01  -1.034  -1.126
  1.00   8.7607   1.754    -2.28  23.06   2.62  1.231  0.955 4.22E-02 4.13E-02 4.59E-08 1.86E-01  -0.854  -0.960
  1.20   8.9512   1.717    -2.46  22.07   2.81  1.264  0.950 4.05E-02 3.98E-02 5.03E-08 1.99E-01  -0.702  -0.826
  1.40   9.1407   1.676    -2.67  21.09   2.97  1.292  0.946 3.41E-02 3.36E-02 3.02E-08 2.15E-01  -0.591  -0.738
  1.60   9.3300   1.635    -2.90  20.10   3.10  1.317  0.944 2.36E-02 2.33E-02 7.13E-09 2.33E-01  -0.560  -0.719
  1.80   9.5186   1.593    -3.13  19.12   3.10  1.321  0.945 1.19E-02 1.19E-02 3.99E-10 2.48E-01  -0.560  -0.719
  2.00   9.7076   1.553    -3.37  18.16   3.12  1.327  0.942 3.72E-03 3.71E-03 2.32E-12 2.53E-01  -0.512  -0.664
  2.20   9.8961   1.512    -3.61  17.22   2.92  1.311  0.939 5.24E-04 5.24E-04 3.84E-16 2.44E-01  -0.370  -0.512
  2.40  10.0824   1.465    -3.84  16.31   2.67  1.311  0.919 1.98E-05 1.98E-05 0.00E+00 2.21E-01  -0.160  -0.291
  2.60  10.2623   1.399    -4.09  15.40   2.38  1.356  0.872 8.10E-08 8.10E-08 0.00E+00 1.86E-01   0.119  -0.005
  2.80  10.4292   1.296    -4.39  14.47   2.13  1.491  0.786 8.44E-12 8.44E-12 0.00E+00 1.41E-01   0.508   0.387
  3.00  10.5744   1.143    -4.78  13.50   1.99  1.772  0.651 2.31E-18 2.31E-18 0.00E+00 9.38E-02   1.054   0.931
  3.20  10.6866   0.933    -5.30  12.48   1.98  2.288  0.451 0.00E+00 0.00E+00 0.00E+00 5.13E-02   1.808   1.680
  3.40  10.7486   0.679    -5.96  11.42   2.05  3.264  0.131 0.00E+00 0.00E+00 0.00E+00 2.07E-02   2.831   2.695
     6.000    13.500
 -7.40   0.8170   1.997    -0.81  60.73   1.72  1.001  1.000 6.49E-04 1.23E-04 0.00E+00 1.32E-02  -5.572  -5.572
 -7.20   1.0169   1.997    -0.80  59.81   1.72  1.002  1.000 7.14E-04 1.42E-04 0.00E+00 1.48E-02  -5.550  -5.550
 -7.00   1.2168   1.996    -0.80  58.90   1.72  1.002  1.000 7.82E-04 1.65E-04 0.00E+00 1.67E-02  -5.528  -5.528
 -6.80   1.4167   1.996    -0.80  57.98   1.72  1.002  1.000 8.53E-04 1.91E-04 0.00E+00 1.87E-02  -5.506  -5.506
 -6.60   1.6166   1.996    -0.80  57.06   1.71  1.002  1.000 9.27E-04 2.21E-04 0.00E+00 2.08E-02  -5.484  -5.484
