 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
 -2.00   3.8107   1.969   0.505 39.309  3.035  1.051  0.993 1.25E-02 1.03E-02 1.07E-11 8.26E-02 -1.198 -1.235
 -1.80   4.0092   1.962   0.456 38.355  3.445  1.074  0.991 1.72E-02 1.48E-02 4.04E-11 8.67E-02 -1.009 -1.048
 -1.60   4.2069   1.951   0.384 37.381  4.055  1.106  0.987 2.42E-02 2.15E-02 1.51E-10 9.05E-02 -0.823 -0.863
 -1.40   4.4038   1.937   0.279 36.380  4.939  1.153  0.983 3.45E-02 3.13E-02 5.56E-10 9.38E-02 -0.641 -0.683
 -1.20   4.5997   1.919   0.128 35.341  6.175  1.218  0.976 4.93E-02 4.55E-02 1.99E-09 9.68E-02 -0.468 -0.512
 -1.00   4.7938   1.893  -0.086 34.247  7.843  1.306  0.967 7.05E-02 6.56E-02 6.93E-09 9.82E-02 -0.295 -0.341
 -0.80   4.9863   1.861  -0.378 33.091  9.939  1.417  0.956 9.93E-02 9.30E-02 2.31E-08 9.90E-02 -0.135 -0.182
 -0.60   5.1759   1.817  -0.765 31.855 12.407  1.551  0.944 1.38E-01 1.29E-01 7.30E-08 9.70E-02  0.040 -0.008
 -0.40   5.3636   1.766  -1.248 30.547 15.001  1.698  0.931 1.86E-01 1.75E-01 2.17E-07 9.42E-02  0.228  0.180
 -0.20   5.5487   1.707  -1.830 29.163 17.422  1.848  0.918 2.43E-01 2.29E-01 6.00E-07 8.96E-02  0.422  0.374
  0.00   5.7300   1.635  -2.500 27.723 19.426  1.977  0.908 3.10E-01 2.93E-01 1.56E-06 7.90E-02  0.614  0.567
  0.20   5.9108   1.564  -3.192 26.298 20.710  2.068  0.901 3.80E-01 3.59E-01 3.76E-06 7.14E-02  0.802  0.755
  0.40   6.0909   1.494  -3.915 24.868 21.960  2.077  0.897 4.51E-01 4.25E-01 8.40E-06 6.41E-02  0.980  0.935
  0.60   6.2704   1.425  -4.605 23.509 20.721  2.135  0.898 5.19E-01 4.90E-01 1.78E-05 5.61E-02  1.154  1.109
  0.80   6.4504   1.361  -5.253 22.223 19.897  2.100  0.902 5.83E-01 5.51E-01 3.57E-05 4.93E-02  1.319  1.275
  1.00   6.6302   1.299  -5.864 20.999 18.630  2.016  0.913 6.42E-01 6.07E-01 6.87E-05 4.15E-02  1.468  1.424
  1.20   6.8137   1.251  -6.392 19.885 17.246  1.930  0.923 6.90E-01 6.53E-01 1.27E-04 4.00E-02  1.610  1.566
  1.40   6.9994   1.210  -6.843 18.868 15.781  1.834  0.934 7.30E-01 6.91E-01 2.26E-04 4.04E-02  1.735  1.690
  1.60   7.1874   1.177  -7.231 17.931 14.361  1.735  0.946 7.61E-01 7.21E-01 3.92E-04 4.32E-02  1.835  1.791
  1.80   7.3779   1.152  -7.562 17.063 13.048  1.639  0.959 7.83E-01 7.44E-01 6.62E-04 4.89E-02  1.900  1.857
  2.00   7.5712   1.134  -7.844 16.254 11.873  1.549  0.974 7.97E-01 7.58E-01 1.09E-03 5.82E-02  1.915  1.875
  2.20   7.7676   1.125  -8.084 15.491 10.856  1.468  0.991 8.00E-01 7.63E-01 1.74E-03 7.26E-02  1.874  1.840
  2.40   7.9679   1.125  -8.290 14.763 10.025  1.396  1.012 7.91E-01 7.57E-01 2.67E-03 9.45E-02  1.791  1.759
  2.60   8.1729   1.139  -8.469 14.055  9.412  1.335  1.040 7.66E-01 7.35E-01 3.86E-03 1.28E-01  1.703  1.668
  2.80   8.3840   1.168  -8.619 13.362  9.137  1.289  1.073 7.15E-01 6.90E-01 5.14E-03 1.83E-01  1.633  1.588
  3.00   8.6018   1.217  -8.797 12.620  9.178  1.273  1.104 6.27E-01 6.09E-01 5.95E-03 2.71E-01  1.576  1.516
  3.20   8.8230   1.278  -9.023 11.798  9.923  1.326  1.099 4.81E-01 4.71E-01 5.40E-03 4.12E-01  1.623  1.548
  3.40   9.0355   1.315  -9.275 10.902 11.777  1.477  1.009 2.73E-01 2.69E-01 3.02E-03 6.08E-01  2.094  1.992
  3.60   9.2208   1.271  -9.618  9.930 15.503  1.651  0.845 7.92E-02 7.88E-02 7.14E-04 7.72E-01  2.911  2.774
     5.450    12.600
 -7.40  -1.3826   1.999   0.797 63.748  2.333  1.001  1.000 3.43E-04 4.85E-05 0.00E+00 5.85E-03 -4.397 -4.397
 -7.20  -1.1827   1.999   0.797 62.828  2.332  1.001  1.000 3.90E-04 5.64E-05 0.00E+00 6.73E-03 -4.389 -4.389
 -7.00  -0.9827   1.999   0.797 61.908  2.332  1.001  1.000 4.41E-04 6.56E-05 0.00E+00 7.72E-03 -4.376 -4.378
 -6.80  -0.7828   1.998   0.797 60.988  2.332  1.002  1.000 4.97E-04 7.62E-05 0.00E+00 8.84E-03 -4.360 -4.365
 -6.60  -0.5829   1.998   0.797 60.068  2.331  1.002  1.000 5.58E-04 8.86E-05 0.00E+00 1.01E-02 -4.335 -4.344
 -6.40  -0.3830   1.997   0.797 59.149  2.331  1.002  1.000 6.25E-04 1.03E-04 0.00E+00 1.15E-02 -4.299 -4.316
 -6.20  -0.1831   1.997   0.796 58.230  2.330  1.002  0.999 6.97E-04 1.20E-04 0.00E+00 1.31E-02 -4.242 -4.271
 -6.00   0.0168   1.997   0.796 57.310  2.329  1.002  0.999 7.73E-04 1.39E-04 0.00E+00 1.48E-02 -4.160 -4.208
 -5.80   0.2167   1.996   0.796 56.391  2.329  1.003  0.999 8.55E-04 1.61E-04 0.00E+00 1.68E-02 -4.064 -4.122
 -5.60   0.4166   1.995   0.796 55.471  2.328  1.003  0.999 9.43E-04 1.88E-04 0.00E+00 1.90E-02 -3.982 -4.034
 -5.40   0.6165   1.995   0.795 54.552  2.327  1.003  0.999 1.04E-03 2.18E-04 0.00E+00 2.13E-02 -3.906 -3.941
